length_url,length_hostname,num_special_chars,num_digits,subdomain_count,domain_age,web_traffic,page_rank,google_index,status_encoded
74,19,222,0,3,9327,4053,5,0,0
61,18,183,183,3,3561,6010,4,0,0
40,32,160,0,4,5614,0,5,0,1
52,24,156,0,3,5408,0,1,1,1
88,24,616,88,7,8346,1,10,1,1
74,12,148,0,2,5877,24587,5,0,0
46,16,92,46,2,2633,827,7,1,0
54,17,162,0,3,6512,1680566,4,0,0
54,21,54,54,1,-1,0,0,1,1
38,16,76,0,2,7134,12,7,1,0
67,15,134,201,2,9394,1294,6,0,0
62,13,310,62,5,5044,0,0,1,1
59,17,177,0,3,2573,0,0,1,1
57,38,228,0,4,1246,7048,4,1,1
32,12,32,32,1,2872,8400,3,0,0
46,25,92,0,2,4537,0,1,1,1
37,16,74,0,2,7133,12,7,0,0
36,29,72,0,2,7295,0,5,1,1
52,18,104,0,2,973,8238037,2,1,1
32,24,64,0,2,7296,0,5,1,1
34,11,34,0,1,7491,63,10,0,0
27,19,81,0,3,-1,479698,2,0,0
92,22,184,92,2,-1,0,1,1,1
102,12,204,714,2,8442,43102,5,0,0
32,23,64,0,2,2277,2426481,3,0,0
29,20,58,0,2,1800,0,3,0,0
119,24,476,119,4,-1,0,4,1,1
59,21,118,0,2,3952,3862928,4,0,0
54,19,108,108,2,4855,128132,4,0,0
151,10,453,151,3,166,0,0,1,1
84,25,252,420,3,4093,52436,4,0,0
55,10,165,55,3,-1,1080262,2,1,1
18,9,18,0,1,-1,294723,2,0,0
39,16,78,0,2,8516,8,10,0,0
28,19,56,28,2,7689,381695,3,0,0
32,16,96,32,3,5913,86462,5,0,0
16,9,16,0,1,-1,2346124,2,0,0
23,12,23,0,1,4141,0,0,1,1
29,21,87,0,3,4664,0,4,0,0
29,20,58,0,2,317,0,0,0,1
41,15,82,0,2,4566,44445,5,0,0
22,6,22,0,1,-1,3523,9,1,1
52,14,156,0,3,657,0,0,1,1
38,20,114,0,3,-1,9412550,2,1,1
30,21,90,0,3,-1,0,2,0,0
76,50,304,76,4,3993,5707171,0,1,1
430,13,10320,0,24,-1,0,0,1,1
37,19,74,0,2,4823,212735,4,1,0
73,23,219,365,3,11046,545,6,0,0
56,15,112,0,2,2939,0,0,1,1
70,13,70,490,1,3385,12180,5,1,0
70,20,210,0,3,7802,0,5,1,1
52,19,104,52,2,-1,241891,5,1,0
31,22,62,31,2,5366,3913090,2,0,0
90,19,360,0,4,2112,0,1,1,1
45,15,135,0,3,7156,2272,3,0,0
55,20,165,0,3,7602,145276,4,0,0
65,12,195,130,3,135,0,0,1,1
41,33,82,41,2,1546,4669,2,1,1
71,25,142,71,2,7,0,0,1,1
83,16,166,0,2,8348,1,10,1,1
73,18,73,73,1,-1,0,0,1,1
44,30,88,88,2,184,0,0,1,1
114,16,456,114,4,2403,819233,3,0,1
127,50,508,127,4,3992,5697976,0,1,1
99,20,396,0,4,254,0,0,0,1
56,20,112,56,2,6041,0,1,1,1
51,17,153,0,3,7284,2788,7,1,0
51,14,255,0,5,-1,0,0,1,1
40,24,80,40,2,-1,1166803,3,0,0
33,14,99,0,3,5111,5692030,1,1,1
88,20,176,440,2,8024,88431,5,0,0
122,18,244,0,2,5993,5488,7,0,0
53,20,159,0,3,2684,188662,4,0,0
46,37,276,46,6,725,23941,1,1,1
36,29,72,0,2,7295,0,5,1,1
31,23,62,0,2,3754,3847776,4,0,0
48,16,96,96,2,5381,299694,5,0,0
101,6,202,0,2,3743,0,2,1,1
41,19,123,0,3,5416,435027,3,0,0
43,35,172,0,4,1901,0,0,1,1
15,8,15,0,1,3937,0,2,0,0
42,10,126,126,3,6668,1677903,4,1,0
51,15,51,153,1,4413,225825,5,0,0
48,27,144,144,3,3983,0,0,1,1
49,19,49,0,1,7732,81846,5,0,0
25,13,25,25,1,2647,0,1,0,1
49,15,98,98,2,9285,121,7,0,0
48,25,144,48,3,8047,1577,5,0,0
108,25,432,108,4,531,0,0,1,1
39,20,78,0,2,1028,0,0,1,1
80,20,320,240,4,5334,1137149,4,1,0
36,17,72,36,2,7602,2368410,4,1,0
28,19,56,28,2,6460,1119897,4,0,0
33,14,66,0,2,1953,4365,3,1,1
23,14,69,0,3,-1,7600,4,0,0
77,18,154,385,2,5224,137,8,0,0
342,19,1710,2052,5,-1,1554194,2,1,1
38,29,76,38,2,189,0,2,1,1
73,22,146,365,2,6203,38365,5,1,0
33,15,66,0,2,5639,2,10,0,0
67,17,201,67,3,1785,7811868,2,1,1
39,18,78,0,2,6431,15489,5,1,0
24,15,48,0,2,2254,219358,4,0,0
26,17,52,0,2,-1,543542,3,0,0
39,7,78,0,2,9253,21542,6,0,0
62,22,186,62,3,5825,0,0,1,1
41,13,82,41,2,1899,507771,1,1,1
40,31,80,0,2,7295,0,5,1,1
51,26,153,102,3,4120,632334,3,0,0
59,12,118,177,2,3650,7053,5,1,0
50,20,150,0,3,8044,2580,6,0,0
52,25,104,52,2,6831,0,0,1,1
43,15,86,43,2,3904,0,0,1,1
94,42,282,376,3,4183,0,3,1,1
60,15,240,0,4,2403,62284,3,0,0
18,11,18,0,1,-1,1111694,2,0,0
204,27,408,204,2,7968,892,7,0,1
94,24,658,0,7,8346,1,10,0,1
41,33,164,41,4,-1,0,0,1,1
19,11,38,0,2,1154,0,0,1,1
35,22,70,35,2,3608,0,0,1,1
63,26,189,0,3,2870,0,2,1,1
53,21,106,0,2,5972,0,0,1,1
75,44,300,225,4,5616,0,5,1,1
35,27,70,0,2,6381,0,3,1,1
210,14,840,210,4,8348,1,10,0,1
44,13,44,88,1,4825,128305,5,0,0
150,40,750,0,5,4405,0,0,1,1
39,22,117,39,3,570,0,2,1,1
64,15,128,64,2,3381,6240092,2,1,1
106,20,424,424,4,4681,4701900,3,0,1
34,20,68,0,2,-1,5496959,0,0,1
65,16,130,0,2,7133,12,7,0,0
60,14,180,60,3,2290,10725245,2,1,1
25,14,25,0,1,896,0,0,1,1
39,21,78,0,2,6901,11507,5,0,0
38,15,114,38,3,3899,207904,4,0,0
129,8,258,129,2,-2,9675493,0,1,1
52,15,104,104,2,9224,18386,5,0,0
30,14,90,0,3,-1,0,0,1,1
33,24,66,0,2,7449,0,8,0,0
118,27,354,708,3,7287,0,4,0,0
27,20,27,27,1,2625,8571696,2,0,0
78,16,234,0,3,11192,1465,6,0,0
35,27,70,35,2,2839,0,2,1,1
32,18,32,32,1,-1,5497323,0,1,1
64,39,320,192,5,5615,0,5,1,1
38,29,76,38,2,189,0,2,1,1
24,15,72,0,3,4996,179875,4,0,0
68,15,204,0,3,3526,24047,5,0,0
126,50,504,126,4,3993,5707171,0,1,1
41,16,82,0,2,7130,12,7,0,0
48,16,96,0,2,7134,13,7,0,0
29,21,58,0,2,3904,0,2,0,0
24,15,48,0,2,2980,1168093,2,0,0
50,17,150,0,3,7427,193,7,0,0
126,50,504,126,4,3992,5697976,0,1,1
39,11,78,0,2,8627,5781,6,0,0
102,15,102,102,1,2047,0,0,1,1
31,23,62,0,2,2425,0,2,0,0
86,22,258,86,3,5826,0,0,1,1
78,16,156,312,2,6068,4211,4,0,0
29,20,87,0,3,3477,7290834,2,0,0
33,12,66,0,2,8965,70,8,0,0
27,12,27,27,1,7,0,0,0,1
24,15,48,0,2,-1,373207,2,0,0
39,20,78,0,2,6096,83476,4,0,0
28,21,56,28,2,5903,0,4,0,0
102,24,306,0,3,5627,0,5,0,1
43,18,86,0,2,4153,124314,4,1,0
27,19,54,0,2,4764,199026,4,0,0
101,17,202,909,2,9744,962,7,0,0
60,28,180,180,3,3163,1323034,4,0,0
38,13,114,0,3,-1,98458,4,0,0
19,10,19,0,1,2088,0,0,1,1
137,15,411,0,3,4162,376041,5,1,0
263,179,3682,263,14,-1,0,0,1,1
22,6,22,0,1,-1,3536,9,1,1
89,21,267,0,3,918,0,0,1,1
28,19,56,0,2,5890,2487034,3,0,0
49,26,147,0,3,8046,1577,5,0,0
45,36,180,90,4,5616,0,5,1,1
30,22,60,0,2,5442,0,2,0,1
54,10,108,54,2,3188,9820235,2,1,1
29,22,58,0,2,-1,0,2,0,0
86,16,258,86,3,3977,0,2,1,1
26,18,52,0,2,1,0,0,1,1
83,20,166,0,2,4549,146,7,0,0
49,28,98,49,2,1,9657236,0,1,1
33,12,66,0,2,8969,70,8,0,0
40,18,80,0,2,9205,692,6,0,0
56,18,112,168,2,8697,25617,5,1,0
27,18,54,0,2,3873,2192611,2,0,0
70,33,210,280,3,4821,151781,3,0,0
128,120,1280,0,10,65,0,0,1,1
25,6,25,0,1,-1,0,6,1,1
33,16,66,0,2,8517,8,10,0,0
52,16,104,52,2,3118,258,7,0,0
31,22,62,0,2,7318,19471,5,0,0
41,32,82,0,2,7295,0,5,1,1
33,24,66,0,2,6022,4222108,2,0,0
32,23,32,32,1,1,0,0,1,1
66,30,198,66,3,3346,0,1,0,0
85,14,170,595,2,5409,9424,6,0,0
52,20,104,0,2,7129,12,7,0,0
109,19,327,872,3,4300,17917,5,0,0
84,20,84,504,1,2785,456652,4,0,0
110,16,220,110,2,8346,1,10,0,1
171,25,342,171,2,1095,3898136,0,1,1
17,9,17,0,1,-1,1860135,3,0,0
19,12,19,0,1,7557,3080310,2,0,0
98,14,392,0,4,-1,0,0,1,1
32,24,64,0,2,2581,3704884,4,1,1
28,20,84,0,3,-1,5759582,4,0,0
64,31,192,0,3,7083,17964,3,1,1
40,16,80,0,2,7133,12,7,0,0
132,32,264,132,2,8019,0,4,1,1
124,24,248,248,2,8019,0,4,1,1
51,18,102,0,2,3747,0,2,1,1
141,48,282,0,2,-1,0,0,1,1
126,50,504,126,4,3993,5707171,0,1,1
21,14,42,0,2,4924,0,1,0,0
53,14,106,0,2,11205,173087,5,1,0
27,18,54,0,2,-1,0,3,0,0
76,14,152,0,2,1379,0,0,1,1
79,32,158,474,2,4133,3807718,4,1,0
77,23,77,0,1,5767,0,2,1,1
35,18,70,0,2,7169,3198502,2,0,0
56,21,168,112,3,6842,74297,5,0,0
49,22,147,0,3,7705,549152,5,1,0
41,20,82,0,2,6769,114612,5,0,0
84,20,168,0,2,-1,0,0,1,1
29,20,58,0,2,8309,891412,5,0,0
21,12,42,0,2,-1,405272,3,0,0
35,13,105,0,3,5572,126063,5,0,0
28,19,56,56,2,-1,642658,3,0,0
97,25,485,0,5,-1,2656129,3,0,1
36,14,36,0,1,2744,0,0,0,1
63,19,189,126,3,8176,1489770,4,1,0
24,17,48,0,2,3086,2742704,2,0,0
40,33,80,0,2,7295,0,5,1,1
85,17,170,85,2,4505,0,0,1,1
56,39,280,112,5,5627,0,5,1,1
49,11,98,0,2,393,0,0,1,1
23,10,23,0,1,-2,0,0,1,1
64,16,128,64,2,2232,0,0,1,1
46,20,138,46,3,205,6985854,0,1,1
36,9,72,0,2,1880,0,0,1,1
29,22,58,0,2,5904,3369493,4,0,0
55,28,110,55,2,6831,0,0,1,1
45,25,90,0,2,6260,683,6,0,0
33,25,66,0,2,-1,1120148,4,0,0
231,23,693,231,3,-1,0,0,1,1
30,17,60,0,2,-1,0,0,1,1
31,23,62,0,2,6749,581257,4,0,0
27,18,54,27,2,-1,0,3,0,0
81,27,162,0,2,5767,0,2,1,1
58,16,116,232,2,7913,0,6,0,0
28,19,56,0,2,7296,1726750,5,0,0
25,16,50,0,2,2568,286071,5,0,0
87,13,435,0,5,1302,0,0,1,1
28,19,56,0,2,5230,0,7,1,0
133,13,266,1596,2,5956,4922,6,1,0
26,17,78,0,3,-1,353666,4,0,0
36,15,36,0,1,6478,0,1,1,1
29,15,29,0,1,990,785858,1,0,1
37,28,74,37,2,7295,0,5,1,1
33,24,66,0,2,4893,1371632,4,0,0
47,15,94,188,2,5886,184,6,0,0
26,17,52,0,2,7753,15139,5,0,0
93,22,465,93,5,4250,0,1,1,1
44,27,176,0,4,12706,3016,6,0,0
34,26,68,0,2,7308,0,0,1,1
63,22,126,315,2,2190,156610,4,0,0
56,36,280,112,5,5613,0,5,1,1
28,20,56,0,2,5614,0,5,1,1
51,21,153,204,3,4478,625153,5,0,0
50,16,150,0,3,3141,0,3,1,1
70,17,210,70,3,7696,54169,5,0,0
41,12,82,0,2,-1,4254948,4,0,0
74,17,148,296,2,5615,1156,5,0,0
26,17,52,0,2,8018,5075341,3,0,0
114,19,342,1140,3,4093,56400,4,0,0
49,26,49,49,1,-1,641733,2,1,1
26,17,52,0,2,-1,7358750,2,0,0
42,14,84,42,2,9897,183,8,0,0
28,19,28,0,1,1352,7246656,2,0,0
29,20,58,0,2,-1,75756,5,0,0
32,15,64,0,2,-1,1316122,3,1,0
34,25,68,34,2,2706,0,4,1,1
51,27,102,51,2,3934,0,0,1,1
78,17,156,546,2,7596,4058,6,0,0
43,29,172,0,4,3429,0,0,1,1
154,28,308,154,2,8018,0,4,1,1
35,26,105,0,3,3345,270265,3,0,0
54,22,162,54,3,-1,0,2,0,0
35,27,70,0,2,3047,0,0,0,0
25,16,25,0,1,1549,3205318,3,0,0
27,19,54,0,2,1626,0,0,0,0
61,12,244,0,4,-1,0,0,1,1
41,30,82,0,2,4748,2421611,4,1,1
47,13,94,0,2,-1,0,0,1,1
19,11,38,0,2,-1,0,0,0,0
38,18,76,38,2,5098,10819,5,0,0
64,19,192,192,3,3167,3345571,2,0,0
271,20,1355,0,5,4096,0,3,1,1
50,10,50,0,1,118,0,0,1,1
80,23,240,480,3,7785,19148,4,0,0
67,28,134,0,2,219,0,0,1,1
282,30,846,282,3,8018,0,4,1,1
144,37,288,288,2,8018,0,4,1,1
52,20,52,52,1,1244,0,0,1,1
28,19,56,0,2,7555,184970,5,0,0
50,20,150,0,3,8045,2595,6,0,0
60,19,180,60,3,1408,4219048,0,1,0
87,18,174,348,2,5222,136,8,0,0
35,18,105,0,3,155,0,0,1,1
102,15,408,0,4,4701,0,0,1,1
63,23,126,0,2,7534,204574,4,0,0
36,27,72,36,2,2837,0,2,1,1
21,12,42,0,2,7714,148721,4,0,0
238,17,714,1904,3,9338,21,5,0,1
36,13,144,0,4,-1,0,0,0,1
38,29,76,0,2,6636,225794,3,0,0
88,14,440,176,5,-1,0,0,1,1
29,21,58,0,2,7062,1760637,1,1,1
27,17,54,0,2,-1,0,0,1,1
101,15,202,101,2,8346,1,10,1,1
18,11,36,0,2,-1,4639934,2,0,0
27,15,54,0,2,7006,0,1,0,1
28,15,56,0,2,8349,1,10,1,0
36,14,36,36,1,2357,0,2,0,1
53,14,106,0,2,7371,97473,5,0,0
66,13,198,66,3,5589,0,3,1,1
35,26,70,0,2,7295,0,5,1,1
27,13,27,0,1,968,957082,6,1,1
21,13,63,0,3,-1,0,0,0,1
123,19,246,1845,2,7380,12752,6,0,0
47,18,188,0,4,6723,4971141,5,1,0
59,15,177,177,3,5280,20776,4,0,0
15,4,15,0,1,-1,0,4,1,1
26,18,52,0,2,8704,2401049,3,0,0
82,36,410,246,5,5612,0,5,1,1
77,16,154,0,2,6216,3181,5,0,0
38,13,114,0,3,6672,0,3,1,1
39,32,78,0,2,7295,0,5,1,1
42,15,84,0,2,7266,1103,7,1,0
33,19,66,0,2,4805,141041,3,0,0
53,36,106,159,2,7296,0,5,1,1
44,16,132,44,3,3081,1803451,2,0,0
23,15,46,0,2,2101,3571542,3,0,0
17,10,17,0,1,903,0,2,0,0
26,18,52,0,2,2063,1523869,1,0,0
129,54,645,129,5,3992,5697976,0,1,1
42,34,84,84,2,808,0,2,1,1
52,19,104,0,2,6673,6923,5,1,0
27,19,54,0,2,1846,1306556,1,0,0
43,14,129,0,3,7159,2320,3,0,0
28,20,56,28,2,7297,283040,5,0,0
97,21,291,97,3,7969,90170,5,1,0
28,20,56,0,2,2634,5403,2,0,1
27,19,54,0,2,1617,9329560,1,0,0
35,19,105,0,3,674,0,0,1,1
62,19,124,124,2,8683,65933,5,0,0
127,50,508,127,4,4003,5816617,0,1,1
29,22,58,0,2,7359,1052987,1,1,1
33,16,66,0,2,4001,31358,5,1,1
72,17,216,72,3,6344,2659943,5,0,0
33,25,66,0,2,4180,1524695,2,0,0
40,18,80,0,2,9202,684,6,0,0
61,42,305,122,5,5616,0,5,1,1
51,32,102,0,2,3727,0,4,0,0
44,10,44,132,1,9486,400,6,0,0
259,12,518,259,2,4967,0,1,1,1
57,21,114,0,2,2736,0,0,1,1
31,22,62,0,2,1259,361430,3,0,0
47,15,141,0,3,-1,0,0,1,1
93,26,279,558,3,2230,1407776,4,0,0
49,18,98,49,2,9201,684,6,0,0
22,13,44,0,2,-1,33537,5,0,0
45,21,90,0,2,-1,1686483,5,0,0
105,29,210,105,2,8019,0,4,1,1
109,21,436,0,4,14,0,0,0,1
40,33,80,0,2,4274,0,2,0,0
24,5,24,0,1,-1,134401,5,1,1
37,17,74,0,2,852,0,2,1,1
152,13,304,3040,2,7422,286,7,1,0
124,46,620,0,5,3993,5707171,0,1,1
35,15,70,0,2,6951,0,2,1,1
126,50,504,126,4,3993,5707171,0,1,1
51,24,153,51,3,5440,0,2,1,0
126,61,378,504,3,1656,2576752,0,1,1
49,25,98,0,2,6256,689,6,0,0
46,17,92,46,2,2879,136805,4,0,0
31,16,62,0,2,8520,8,10,0,0
45,15,90,0,2,8831,2695,6,0,0
36,27,72,0,2,7449,0,8,0,0
56,29,112,0,2,3232,65403,4,1,0
54,19,108,0,2,6672,6935,5,1,0
76,50,304,76,4,3993,5707171,0,1,1
29,20,58,0,2,1991,4019018,2,0,0
70,16,140,70,2,8348,1,10,1,1
22,14,66,0,3,-1,0,0,0,1
46,38,92,0,2,5230,0,7,0,0
53,15,106,212,2,5883,181,6,0,0
105,20,525,0,5,4097,0,3,1,1
64,18,128,0,2,7685,10053,5,0,0
29,20,58,0,2,3097,500444,4,0,0
47,18,141,0,3,7403,2112,6,0,0
126,61,378,504,3,1658,2580873,0,1,1
37,28,74,0,2,7448,0,8,0,0
42,20,84,0,2,9247,1299,6,0,0
15,8,15,0,1,1617,0,0,0,0
44,13,132,0,3,2595,253010,4,0,0
71,23,213,71,3,8705,974180,4,0,0
72,25,144,0,2,6028,0,1,1,1
48,24,144,0,3,8125,6897,5,1,0
29,22,58,29,2,5200,0,5,0,0
71,17,142,142,2,6693,3855,7,0,0
32,24,64,0,2,7299,2384422,5,0,0
59,18,118,0,2,4942,0,0,1,1
55,28,110,55,2,5257,30484,2,1,1
26,17,52,0,2,1341,0,0,0,0
32,12,64,0,2,6036,0,2,1,1
34,26,68,0,2,3876,1903447,4,0,0
115,12,345,1265,3,134,4970516,2,1,0
33,14,66,0,2,1954,4403,3,1,1
74,20,222,222,3,8350,1309,6,0,0
77,23,77,0,1,5767,0,2,1,1
18,11,18,0,1,4174,0,3,0,0
62,22,124,62,2,7881,436856,5,0,0
56,17,112,168,2,6400,92162,5,1,0
53,44,212,159,4,5627,0,5,1,1
27,15,27,0,1,6879,8580,5,0,0
84,59,672,84,8,8427,0,2,1,1
56,18,56,56,1,1396,0,0,1,1
552,25,2760,13248,5,6588,30,4,1,0
110,13,220,1540,2,10106,1103,8,0,0
102,15,102,102,1,2046,0,0,1,1
32,24,64,0,2,2447,458809,3,0,0
99,30,396,693,4,7446,383,8,1,0
19,10,38,0,2,9557,19025,5,0,0
34,13,68,0,2,3895,817468,4,0,0
103,18,206,927,2,2660,46690,5,0,0
45,8,45,0,1,3783,9280076,2,1,1
31,24,62,0,2,7295,0,5,0,1
24,15,48,0,2,2175,57991,4,0,0
76,31,228,76,3,-1,0,0,1,1
393,12,9432,0,24,-1,0,0,1,1
45,17,45,90,1,2851,877707,2,0,1
36,28,72,36,2,3433,354815,2,0,1
409,25,1227,6953,3,4112,7751,4,1,1
76,68,532,228,7,2961,277981,1,1,1
24,17,48,0,2,2695,1618926,4,0,0
49,15,98,0,2,8501,98267,5,0,0
40,13,160,0,4,-1,122136,5,1,0
29,20,58,0,2,2872,239843,3,0,0
22,15,44,0,2,7446,6418275,0,1,1
34,15,34,0,1,7655,433,7,0,0
121,57,242,363,2,101,0,0,1,1
64,10,192,64,3,-1,2624,7,1,0
38,29,76,0,2,2689,2505693,4,0,0
25,12,25,0,1,2063,1592351,3,1,0
50,20,100,50,2,2193,0,0,1,1
89,16,178,89,2,2255,0,3,1,1
58,28,116,58,2,7616,2190,5,0,0
29,22,58,0,2,7296,0,5,0,0
30,21,60,30,2,4638,0,2,0,0
71,16,213,142,3,8276,6078,6,1,0
44,35,88,0,2,7296,0,5,1,1
58,16,174,174,3,6137,28754,5,0,0
56,47,112,0,2,7447,0,8,0,0
42,34,84,84,2,-1,0,0,1,1
36,13,108,0,3,-1,37698,5,0,0
38,30,76,0,2,7667,1715671,3,0,0
33,24,66,0,2,7296,0,5,1,1
35,27,70,0,2,-1,0,0,1,1
47,38,94,47,2,-1,77586,1,1,1
26,17,52,0,2,1951,4130164,2,0,0
29,14,58,0,2,2881,5754,4,1,1
32,23,64,0,2,1776,352628,2,0,0
67,10,67,469,1,33,7066606,4,0,0
27,18,54,0,2,4724,942542,4,0,0
106,22,318,106,3,502,0,3,1,1
70,25,70,280,1,5304,0,3,0,0
163,15,163,163,1,23,0,0,1,1
31,22,62,0,2,7449,7720996,8,0,0
85,16,170,340,2,-1,3101079,0,0,1
44,22,132,44,3,2767,0,1,1,1
54,14,54,0,1,-1,0,0,1,1
54,19,162,0,3,12794,2414,5,0,0
29,20,58,29,2,-1,1436826,1,0,0
38,7,38,114,1,8121,4539,7,0,0
20,12,40,0,2,4054,477177,5,0,0
27,19,54,0,2,-1,501073,4,0,0
22,6,22,0,1,-1,3523,9,1,1
63,18,126,126,2,9172,617,7,0,0
73,25,219,73,3,6560,1220306,4,1,0
81,27,162,0,2,5767,0,2,1,1
216,18,432,0,2,4873,0,2,1,1
83,16,166,0,2,8348,1,10,1,1
30,21,60,0,2,4660,528300,4,0,0
25,16,50,0,2,7143,1195221,1,0,0
38,19,76,0,2,1433,6064147,2,1,1
68,17,204,68,3,7409,4044493,2,0,1
71,35,142,71,2,1304,0,0,1,1
23,11,23,0,1,7490,63,10,0,0
37,14,74,0,2,-1,0,0,1,1
28,19,56,0,2,2070,3078052,3,0,0
43,34,86,86,2,4386,0,4,1,1
36,7,36,36,1,2247,13779,5,0,0
50,42,200,0,4,625,0,0,0,1
44,36,132,0,3,7298,0,5,1,1
128,50,512,128,4,4004,5828815,0,1,1
58,19,174,58,3,8685,431469,4,0,0
66,17,132,132,2,3040,319620,3,0,0
241,63,1205,0,5,-1,0,0,1,1
44,18,88,0,2,9201,684,6,0,0
18,9,18,0,1,1001,0,2,0,0
39,14,78,0,2,304,0,0,1,1
46,17,138,0,3,7431,195,7,0,0
51,22,153,0,3,5504,97555,5,1,1
25,17,50,0,2,2288,0,1,0,0
37,24,74,0,2,5159,0,8,0,0
52,16,156,0,3,2911,8734,6,0,0
26,17,52,0,2,7461,541226,4,0,0
25,16,50,0,2,3098,239553,2,0,0
34,13,34,34,1,289,0,0,1,1
56,17,224,0,4,36,0,0,1,1
32,12,32,32,1,2899,492072,4,0,0
26,17,52,26,2,561,0,2,1,1
77,23,77,0,1,5767,0,2,1,1
57,21,114,57,2,2361,0,2,1,1
59,41,236,177,4,5615,5518403,5,1,1
102,15,102,102,1,2048,0,0,1,1
39,13,39,0,1,2136,0,2,1,1
35,23,70,35,2,-1,0,0,0,0
28,20,56,0,2,142,0,0,0,1
30,23,60,0,2,7295,0,5,1,1
101,24,202,1010,2,4843,5881,5,0,0
30,23,90,0,3,-1,0,2,0,0
44,35,176,88,4,5614,0,5,1,1
39,22,39,0,1,-1,0,0,1,1
90,23,270,450,3,11046,545,6,0,0
34,15,34,0,1,3245,0,2,1,1
36,11,72,36,2,-1,0,0,1,1
37,16,74,0,2,7132,12,7,0,0
39,17,78,0,2,9188,317,5,0,0
42,33,168,0,4,-1,0,3,1,1
48,20,96,0,2,-1,0,0,1,1
75,12,150,75,2,-2,0,0,1,1
25,16,50,0,2,-1,968021,3,0,0
50,20,150,0,3,2686,189942,4,0,0
92,17,276,276,3,-1,2620554,2,1,1
31,24,62,0,2,7295,0,5,1,1
25,18,25,0,1,-1,0,2,0,0
41,33,123,82,3,7189,481145,1,1,1
22,14,44,0,2,3071,138987,4,0,0
76,15,152,0,2,5850,0,0,1,1
40,14,40,0,1,5411,6098,5,0,0
51,32,153,0,3,1546,4669,2,1,1
60,14,120,240,2,-1,575464,4,0,0
33,25,66,0,2,2026,0,2,0,0
131,23,262,131,2,5,0,0,1,1
68,15,136,68,2,1256,0,1,1,1
51,22,102,0,2,5681,0,4,1,1
45,17,90,0,2,7795,7716858,3,1,1
67,16,134,134,2,6891,90969,5,0,0
24,15,48,0,2,-1,3161182,4,0,0
92,15,276,0,3,2414,0,1,1,1
34,27,68,34,2,7051,1222496,2,1,1
54,13,108,54,2,9227,767,6,1,0
40,33,80,0,2,7295,0,5,1,1
70,17,140,350,2,5132,1310,7,0,0
18,4,18,0,1,-1,36284,6,1,1
126,50,504,126,4,3993,5707171,0,1,1
24,16,72,0,3,6149,878731,3,0,0
54,15,108,0,2,4672,90,9,0,0
